state,location,notices,workers,reason
OH,"Steubenville, Martins Ferry, Yorkville (Jefferson & Belmont)",1,534,5 distinct places named
OH,Hamilton/Butler,8,532,2 distinct places named
WA,"Seattle, Bellevue, Redmond",3,532,3 distinct places named
AZ,Arizona,1,531,name matches more than one place
IL,"One Baxter Parkway Deerfield, IL 60015-4625",2,531,no matching place
MI,New Hudson,5,531,no matching place
WA,"Seattle, Pullman",1,531,2 distinct places named
CA,Terminal Island,3,528,no matching place
FL,PONTE VEDRA BEACH,4,528,no matching place
VA,Virignia Beach VA,7,528,no matching place
IL,"15900 Cicero Oak Forest, IL 60452",1,525,no matching place
VA,"Fredericksburg, Virginia Beach, Newport News, Chesapeake & Hampton VA",1,524,5 distinct places named
IL,"PO Box 508 100 Premier Drive Belleville, IL 62222",2,523,no matching place
CA,"Culver City, Baldwin Park, Montebello",1,517,3 distinct places named
WI,Brokaw,4,517,no matching place
IL,"820 W Lake St #200 Chicago, IL 60607",1,516,no matching place
IN,"Wakarusa, Milford, Warsaw",1,515,3 distinct places named
IL,"2402 E. Empire Bloomington, IL 61799",1,510,no matching place
OH,Various (Various),1,509,no matching place
WA,"Clarkston, Vancouver",1,508,2 distinct places named
MA,"Wilmington, MA, Boston",7,505,2 distinct places named
IL,"222 W. Merchandise Mart Plaza Chicago, IL 60654",1,502,no matching place
IN,"Merrillville, Schererville, Portage, Mishawaka, Lafayette, Clarksville, Jeffersonville, Evansville and Indianapolis",1,502,9 distinct places named
IL,"150 AVENUE EAST ROCHELLE, IL 61068",1,500,no matching place
IL,"300 S RIVERSIDE & 525 W MONROE CHICAGO, IL 60670",1,500,no matching place
IL,"511 CARGO RD, O'HARE AIRPORT CHICAGO, IL 60666",2,500,no matching place
IL,"ROUTE 50 NORT5H 1201 N KINZIE BRADLEY, IL 60915",1,500,no matching place
AL,Marshall Center,2,496,no matching place
IL,"2300 NE ADAMS PEORIA, IL 61639",2,496,no matching place
MD,"23013 Cedar Point Road Bldg. 2118 Patuxent River, MD 20670",2,494,no matching place
NJ,Bentonville,1,494,no matching place
MA,"Cambridge, Andover, Bedford, Boston, Northeast, Metro Southwest",1,493,3 distinct places named
AL,State-Wide,1,491,no matching place
NY,Rego Park,5,488,no matching place
IL,"222 W Merchandise Mart Plaza #1750 Chicago, IL 60654",1,487,no matching place
SC,Mount Holly,1,487,no matching place
IL,"300 S Riverside Plz Ste 400 Chicago, IL 60606-6616",1,484,no matching place
KY,Clark / Montgomery,2,484,no matching place
AZ,Westerville,1,483,no matching place
VA,Fairfax & Woodbridge VA,2,483,2 distinct places named
TX,Clarksville,5,482,name matches more than one place
VA,Fort Eustis VA,5,481,no matching place
CA,San Ysidro,4,479,no matching place
IL,"2775 Sanders Road, A1W Northbrook, IL 60062",2,478,no matching place
IL,"9300 W. Bryn Mawr Rosemont, IL 60018",1,475,no matching place
CA,Mountain Pass,1,474,no matching place
VA,Norfolk & Virginia Beach VA,4,474,2 distinct places named
CO,Rural,3,473,no matching place
NJ,Fairfield,6,473,no matching place
MI,"Statewide, multiple locations",2,472,no matching place
LA,"Hwy 23 LA-23 Belle Chasse, LA 70037",1,470,no matching place
MD,"7555 Harmans Road Harmans, MD 21077",3,470,no matching place
NJ,FAIRFIELD,5,468,no matching place
IL,"4 FOUNTAIN INDUSTRIAL PARK MOUNT VERNON, IL 62864",3,467,no matching place
GA,Fort Gordon,5,466,no matching place
IL,"8801 N. University P.O. Box 10797 Peoria, IL 61612",2,466,no matching place
FL,33716,1,465,no place name in the string
NJ,Salisbury,1,460,no matching place
CA,Big Sur,5,458,no matching place
CA,Santa Fe,7,456,no matching place
IL,"LAMBERT AIRPORT P O BOX 10098 ST LOUIS, MO 63145",1,456,no matching place
VA,"Herndon, Woodbridge, Clifton, Springfield, Fairfax, Arlington & Vienna VA",1,455,6 distinct places named
IL,"7300 S. Kedzie Chicago, IL 60629",1,454,no matching place
LA,Nitrile Plant Facility,1,454,no matching place
CA,Paso Robles,9,453,no matching place
IN,Mishawaka and Indianapolis,1,452,2 distinct places named
IL,"3 State Farm Plaza South Bloomington, IL 61791-0001",1,451,no matching place
IL,"3 State Farm Plz S H-4 Bloomington, IL 61710-0001",1,451,no matching place
MI,"Fruitport, Michigan and Southfield, Michigan",1,451,2 distinct places named
IL,"1 PARKWAY NORTH DEERFIELD, IL 60015",1,450,no matching place
